,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,1.0,1,0.2711736617240512,1,0,0.014151057562208049,1.0
1,1,0.0,0,0.4722292033174164,1,0,0.13913573538264068,0.0
2,1,1.0,0,0.32143754712239253,0,0,0.015468569817999833,1.0
3,1,0.0,0,0.4345312892686604,1,0,0.10364429745562033,1.0
4,0,1.0,1,0.4345312892686604,0,0,0.015712553569072387,1.0
5,0,1.0,1,0.34656948982156316,0,0,0.01650950209357577,0.5
6,0,0.0,1,0.6732847449107816,0,0,0.10122885832000206,1.0
7,0,1.0,1,0.01985423473234481,3,1,0.04113566043083236,1.0
8,1,1.0,0,0.33400351847197784,0,2,0.021730754366528396,1.0
9,1,0.5,0,0.17064589092736868,1,0,0.058694292654020104,0.0
10,1,1.0,0,0.04498617743151546,1,1,0.03259622914329302,1.0
11,1,0.0,0,0.723548630309123,0,0,0.051822148727810165,1.0
12,0,1.0,1,0.24604171902488062,0,0,0.015712553569072387,1.0
13,0,1.0,1,0.4847951746670017,1,5,0.06104473451835265,1.0
14,0,1.0,0,0.17064589092736868,0,0,0.015330377421392339,1.0
15,1,0.5,0,0.685850716260367,0,0,0.03122992013728673,1.0
16,0,1.0,1,0.01985423473234481,4,1,0.05684821399990475,0.5
17,1,0.5,1,0.34656948982156316,0,0,0.025374310111545468,1.0
18,0,1.0,0,0.38426740387031916,1,0,0.03513366015444757,1.0
19,1,1.0,0,0.34656948982156316,0,0,0.014102260811993537,0.0
20,0,0.5,1,0.4345312892686604,0,0,0.050748620223090936,1.0
21,1,0.5,1,0.4219653179190751,0,0,0.025374310111545468,1.0
22,1,1.0,0,0.18321186227695402,0,0,0.015671954672893913,0.5
23,1,0.0,1,0.34656948982156316,0,0,0.06929138530460494,1.0
24,0,1.0,0,0.09525006282985675,3,1,0.04113566043083236,1.0
25,1,1.0,0,0.4722292033174164,1,5,0.06126431989431795,1.0
26,0,1.0,1,0.34656948982156316,0,0,0.014102260811993537,0.0
27,0,0.0,1,0.2334757476752953,3,2,0.5133418122566507,1.0
28,1,1.0,0,0.34656948982156316,0,0,0.01537917417160685,0.5
29,0,1.0,1,0.34656948982156316,0,0,0.015411575213749286,1.0
30,0,0.0,1,0.49736114601658704,0,0,0.05410739813385612,0.0
31,1,0.0,0,0.34656948982156316,1,0,0.2859895551532101,0.0
32,1,1.0,0,0.34656948982156316,0,0,0.015126992566498259,0.5
33,0,0.5,1,0.8240764011058055,0,0,0.020494635090094415,1.0
34,0,0.0,1,0.34656948982156316,1,0,0.16038672010106003,0.0
35,0,0.0,1,0.5224930887157577,1,0,0.10149724044618187,1.0
36,1,1.0,1,0.34656948982156316,0,0,0.014110458666029575,0.0
37,0,1.0,1,0.2586076903744659,0,0,0.015712553569072387,1.0
38,0,1.0,0,0.22090977632571,2,0,0.03513366015444757,1.0
39,1,1.0,0,0.17064589092736868,1,0,0.021942337075458514,0.0
40,0,1.0,0,0.49736114601658704,1,0,0.018493968331299484,1.0
41,0,0.5,0,0.33400351847197784,1,0,0.04098927018018883,1.0
42,0,1.0,1,0.34656948982156316,0,0,0.015411575213749286,0.0
43,1,0.5,0,0.032420206081930136,1,2,0.08115719346076702,0.0
44,1,1.0,0,0.2334757476752953,0,0,0.01537917417160685,0.5
45,0,1.0,1,0.34656948982156316,0,0,0.015712553569072387,1.0
46,0,1.0,1,0.34656948982156316,1,0,0.030253985132996517,0.5
47,1,1.0,0,0.34656948982156316,0,0,0.015126992566498259,0.5
48,0,1.0,1,0.34656948982156316,2,0,0.04231498029001666,0.0
49,0,1.0,0,0.22090977632571,1,0,0.034743286152731485,1.0
50,0,1.0,1,0.08268409148027142,4,1,0.07746484096553544,1.0
51,0,1.0,1,0.2586076903744659,0,0,0.01522458606692728,1.0
52,1,0.0,0,0.610454888162855,1,0,0.1497654242623688,0.0
53,1,0.5,0,0.35913546117114853,1,0,0.050748620223090936,1.0
54,0,0.0,1,0.8115104297562202,0,1,0.1209753416358076,0.0
55,1,0.0,1,0.34656948982156316,0,0,0.06929138530460494,1.0
56,1,0.5,0,0.2586076903744659,0,0,0.020494635090094415,1.0
57,0,1.0,1,0.35285247549635584,0,0,0.014110458666029575,0.0
58,1,0.5,0,0.05755214878110078,1,2,0.05416439273810667,1.0
59,0,1.0,1,0.1329479768786127,5,2,0.09154270340242172,1.0
60,0,1.0,1,0.2711736617240512,0,0,0.014110458666029575,0.0
62,0,0.0,1,0.5601910027645137,1,0,0.16293234896625058,1.0
63,0,1.0,1,0.04498617743151546,3,2,0.05445717323939373,1.0
64,0,0.0,1,0.34656948982156316,0,0,0.05410739813385612,0.0
65,1,1.0,1,0.34656948982156316,1,1,0.029757819776815374,0.0
66,1,0.5,0,0.35913546117114853,0,0,0.020494635090094415,1.0
67,0,1.0,1,0.2334757476752953,0,0,0.015923941091001644,1.0
68,1,1.0,0,0.20834380497612465,4,2,0.015468569817999833,1.0
69,0,1.0,1,0.32143754712239253,2,0,0.016908073949327893,1.0
70,0,0.5,1,0.39683337521990447,0,0,0.020494635090094415,1.0
71,0,1.0,0,0.19577783362653933,5,2,0.09154270340242172,1.0
72,0,0.5,1,0.2586076903744659,0,0,0.1434624456306609,1.0
73,0,1.0,1,0.32143754712239253,1,0,0.028212719478023115,0.0
74,1,1.0,1,0.39683337521990447,0,0,0.11027245763075773,1.0
75,0,1.0,1,0.3088715757728072,0,0,0.014931805565640218,1.0
76,0,1.0,1,0.34656948982156316,0,0,0.015411575213749286,1.0
77,0,1.0,1,0.34656948982156316,0,0,0.015712553569072387,1.0
78,1,0.5,1,0.005152048253329982,0,2,0.056604230248832196,1.0
79,1,1.0,0,0.37170143252073384,0,0,0.024349578357040744,1.0
80,0,1.0,1,0.2711736617240512,0,0,0.017566830077223785,1.0
81,1,1.0,1,0.35913546117114853,0,0,0.018542765081513996,1.0
82,1,1.0,0,0.34656948982156316,0,0,0.015200187691820024,0.5
83,0,0.0,1,0.34656948982156316,0,0,0.09193307740413781,1.0
84,1,0.5,0,0.20834380497612465,0,0,0.020494635090094415,1.0
85,1,1.0,0,0.4093993465694898,3,0,0.030937139635999665,1.0
86,0,1.0,1,0.19577783362653933,1,3,0.06709553154495196,1.0
87,0,1.0,1,0.34656948982156316,0,0,0.015712553569072387,1.0
88,1,0.0,0,0.2837396330736366,3,2,0.5133418122566507,1.0
89,0,1.0,1,0.2963056044232219,0,0,0.015712553569072387,1.0
90,0,1.0,1,0.35913546117114853,0,0,0.015712553569072387,1.0
91,0,1.0,1,0.24604171902488062,0,0,0.015330377421392339,1.0
92,0,0.0,1,0.5727569741140991,1,0,0.11940564777490723,1.0
93,0,1.0,1,0.32143754712239253,1,2,0.04015972542654215,1.0
94,0,1.0,1,0.7361146016587082,0,0,0.014151057562208049,1.0
95,0,1.0,1,0.34656948982156316,0,0,0.015712553569072387,1.0
96,0,0.0,1,0.8869062578537321,0,0,0.06764049365134761,0.0
97,1,0.0,1,0.2837396330736366,0,1,0.12366716556464086,0.0
98,1,0.5,0,0.4219653179190751,0,1,0.044893010197349675,1.0
99,0,0.5,1,0.4219653179190751,1,0,0.050748620223090936,1.0
100,0,1.0,0,0.34656948982156316,0,0,0.015411575213749286,1.0
101,0,1.0,1,0.34656948982156316,0,0,0.015411575213749286,1.0
102,0,0.0,1,0.2586076903744659,0,1,0.15085515328815924,1.0
103,0,1.0,1,0.4093993465694898,0,0,0.016891873428256675,1.0
104,0,1.0,1,0.4596632319678311,2,0,0.015468569817999833,1.0
105,0,1.0,1,0.34656948982156316,0,0,0.015411575213749286,1.0
106,1,1.0,0,0.2586076903744659,0,0,0.014931805565640218,1.0
107,1,1.0,1,0.34656948982156316,0,0,0.015175789316712771,1.0
108,0,1.0,1,0.4722292033174164,0,0,0.015411575213749286,1.0
109,1,1.0,0,0.34656948982156316,1,0,0.04713766070721715,0.5
110,0,0.0,1,0.5853229454636844,0,0,0.10149724044618187,1.0
111,0,1.0,0,0.17692887660216136,1,0,0.028212719478023115,0.0
112,0,1.0,1,0.2711736617240512,0,0,0.015712553569072387,1.0
113,0,1.0,0,0.24604171902488062,1,0,0.019177122834302632,1.0
114,0,1.0,0,0.20834380497612465,0,0,0.028220722145058292,0.0
115,0,1.0,1,0.2586076903744659,0,0,0.015468569817999833,1.0
116,0,1.0,1,0.8806232721789394,0,0,0.015126992566498259,0.5
117,0,0.5,1,0.35913546117114853,1,0,0.04098927018018883,1.0
118,0,0.0,1,0.2963056044232219,0,1,0.4831284260198326,0.0
119,0,1.0,0,0.01985423473234481,4,2,0.06104473451835265,1.0
120,0,0.5,1,0.2586076903744659,2,0,0.1434624456306609,1.0
121,0,1.0,1,0.34656948982156316,0,0,0.015712553569072387,1.0
122,0,0.5,1,0.40311636089469716,1,0,0.058694292654020104,0.0
123,1,0.5,0,0.40311636089469716,0,0,0.025374310111545468,1.0
124,0,0.0,1,0.6732847449107816,0,1,0.15085515328815924,1.0
125,1,1.0,1,0.14551394822819805,1,0,0.021942337075458514,0.0
126,0,1.0,1,0.34656948982156316,0,0,0.015126992566498259,0.5
127,1,1.0,1,0.2963056044232219,0,0,0.01393967004027879,1.0
128,1,1.0,0,0.34656948982156316,1,1,0.04364049521284362,0.0
129,0,1.0,1,0.5601910027645137,0,0,0.013614293309848433,1.0
130,0,1.0,1,0.4093993465694898,0,0,0.015411575213749286,0.0
131,0,1.0,1,0.24604171902488062,0,0,0.013760683560491965,1.0
132,0,1.0,0,0.5853229454636844,1,0,0.028302115124416098,1.0
133,1,0.5,0,0.35913546117114853,1,0,0.050748620223090936,1.0
134,0,0.5,1,0.3088715757728072,0,0,0.025374310111545468,1.0
135,0,0.5,1,0.2837396330736366,0,0,0.02936744577509929,0.0
136,1,0.0,0,0.2334757476752953,0,2,0.051301584996521765,1.0
137,0,0.0,1,0.4596632319678311,1,0,0.10364429745562033,1.0
138,0,1.0,1,0.19577783362653933,0,0,0.01798980030808316,1.0
139,0,0.0,1,0.2963056044232219,0,0,0.15458810467956932,0.0
140,0,1.0,0,0.34656948982156316,0,2,0.029757819776815374,0.0
141,1,1.0,0,0.2711736617240512,0,0,0.015126992566498259,1.0
142,1,1.0,0,0.2963056044232219,1,0,0.030937139635999665,1.0
143,0,1.0,1,0.2334757476752953,0,0,0.013175122557917838,0.5
144,0,0.5,1,0.22090977632571,0,0,0.022446505098674838,1.0
145,0,0.5,1,0.2334757476752953,1,1,0.07173122281533045,1.0
146,1,1.0,1,0.33400351847197784,0,0,0.015216388212891242,1.0
147,0,1.0,0,0.10781603417944208,2,2,0.06709553154495196,1.0
148,0,0.5,1,0.4533802462930384,0,2,0.050748620223090936,1.0
149,0,0.5,1,0.5224930887157577,0,0,0.025374310111545468,1.0
150,0,0.5,1,0.6355868308620256,0,0,0.02444717185746977,1.0
151,1,0.0,0,0.2711736617240512,1,0,0.12999454257145598,1.0
152,0,1.0,1,0.6921337019351597,0,0,0.015712553569072387,1.0
153,0,1.0,1,0.5036441316913798,0,2,0.028302115124416098,1.0
154,0,1.0,1,0.34656948982156316,0,0,0.014273049437744325,1.0
155,0,0.0,1,0.6355868308620256,0,1,0.11980421963065935,0.0
156,1,1.0,0,0.19577783362653933,0,0,0.015094396337354966,0.5
157,0,1.0,1,0.37170143252073384,0,0,0.015712553569072387,1.0
158,0,1.0,1,0.34656948982156316,0,0,0.016908073949327893,1.0
159,0,1.0,1,0.34656948982156316,8,2,0.13575255909676825,1.0
160,0,1.0,1,0.5476250314149284,0,1,0.031425107138144774,1.0
161,1,0.5,0,0.49736114601658704,0,0,0.030741952635141623,1.0
162,0,1.0,1,0.32143754712239253,0,0,0.015175789316712771,1.0
163,0,1.0,1,0.20834380497612465,0,0,0.016908073949327893,1.0
164,0,1.0,1,0.007288263382759488,4,1,0.07746484096553544,1.0
165,1,1.0,1,0.10781603417944208,0,2,0.04006213192611313,1.0
166,1,0.0,0,0.34656948982156316,0,1,0.10735285047192313,1.0
167,0,1.0,0,0.5601910027645137,1,4,0.05445717323939373,1.0
168,0,0.0,1,0.34656948982156316,0,0,0.050602229972447406,1.0
169,0,1.0,1,0.34656948982156316,0,0,0.11027245763075773,1.0
170,0,0.0,1,0.7612465443578789,0,0,0.06538764528744409,1.0
171,0,1.0,1,0.04498617743151546,4,1,0.05684821399990475,0.5
172,1,1.0,0,0.007288263382759488,1,1,0.021730754366528396,1.0
173,0,1.0,1,0.2586076903744659,0,0,0.015468569817999833,1.0
174,0,0.0,1,0.6984166876099522,0,0,0.05991421140938287,0.0
175,0,1.0,1,0.22090977632571,1,1,0.015330377421392339,1.0
176,0,1.0,1,0.34656948982156316,3,1,0.049707687947515,1.0
177,0,0.0,0,0.6230208595124404,0,0,0.05604306762136532,0.0
178,0,0.5,1,0.37170143252073384,0,0,0.025374310111545468,1.0
179,0,1.0,1,0.4470972606182458,0,0,0.0,1.0
180,0,1.0,0,0.34656948982156316,8,2,0.13575255909676825,1.0
181,0,0.5,1,0.34656948982156316,0,0,0.02937564362913533,0.0
182,0,1.0,1,0.10781603417944208,4,2,0.06126431989431795,1.0
183,1,0.5,1,0.007288263382759488,2,1,0.07612293033463641,1.0
184,1,1.0,0,0.04498617743151546,0,2,0.04298993693898376,1.0
185,0,0.0,1,0.34656948982156316,0,0,0.09759350042902103,1.0
186,1,1.0,0,0.34656948982156316,1,0,0.030253985132996517,0.5
187,1,0.0,1,0.5601910027645137,0,0,0.051822148727810165,1.0
188,0,1.0,1,0.49736114601658704,1,1,0.030253985132996517,0.5
189,0,1.0,1,0.4470972606182458,0,0,0.015411575213749286,1.0
190,1,0.5,0,0.39683337521990447,0,0,0.025374310111545468,1.0
191,0,0.5,1,0.2334757476752953,0,0,0.025374310111545468,1.0
192,1,1.0,0,0.2334757476752953,1,0,0.015330377421392339,1.0
193,1,0.5,1,0.032420206081930136,1,1,0.050748620223090936,1.0
194,1,0.0,0,0.5476250314149284,0,0,0.05410739813385612,0.0
195,1,0.0,0,0.723548630309123,0,0,0.2859895551532101,0.0
196,0,1.0,1,0.34656948982156316,0,0,0.015126992566498259,0.5
197,0,1.0,1,0.5224930887157577,0,1,0.01640390592611157,1.0
198,1,1.0,0,0.34656948982156316,0,0,0.015126992566498259,0.5
199,0,0.5,0,0.2963056044232219,0,0,0.025374310111545468,1.0
200,0,1.0,1,0.34656948982156316,0,0,0.018542765081513996,1.0
201,0,1.0,1,0.34656948982156316,8,2,0.13575255909676825,1.0
202,0,1.0,1,0.4219653179190751,0,0,0.012678957201736696,1.0
203,0,1.0,1,0.5664739884393064,0,0,0.014102260811993537,0.0
204,1,1.0,1,0.22090977632571,0,0,0.015712553569072387,1.0
205,0,1.0,0,0.01985423473234481,0,1,0.02042143996477265,1.0
206,0,1.0,1,0.39683337521990447,1,0,0.030937139635999665,1.0
207,1,1.0,1,0.32143754712239253,0,0,0.036670757786204655,0.0
208,1,1.0,0,0.19577783362653933,0,0,0.015126992566498259,0.5
209,1,0.0,1,0.49736114601658704,0,0,0.060507970265993034,0.0
210,0,1.0,1,0.2963056044232219,0,0,0.013760683560491965,1.0
211,1,0.5,0,0.4345312892686604,0,0,0.04098927018018883,1.0
212,0,1.0,1,0.2711736617240512,0,0,0.014151057562208049,1.0
213,0,0.5,1,0.37170143252073384,0,0,0.025374310111545468,1.0
214,0,1.0,1,0.34656948982156316,1,0,0.015126992566498259,0.5
215,1,0.0,0,0.38426740387031916,1,0,0.22109807522194713,0.0
216,1,1.0,0,0.33400351847197784,0,0,0.015468569817999833,1.0
217,0,0.5,1,0.5224930887157577,1,0,0.05270049023167135,1.0
218,1,0.0,0,0.39683337521990447,0,0,0.14891148113361488,0.0
219,0,0.5,1,0.37170143252073384,0,0,0.020494635090094415,1.0
220,1,1.0,1,0.19577783362653933,0,0,0.015712553569072387,1.0
221,0,0.5,1,0.33400351847197784,0,0,0.025374310111545468,1.0
222,0,1.0,1,0.6355868308620256,0,0,0.015712553569072387,1.0
223,0,1.0,1,0.34656948982156316,0,0,0.015411575213749286,1.0
224,1,0.0,1,0.4722292033174164,1,0,0.17566830077223786,1.0
225,0,1.0,1,0.2711736617240512,0,0,0.018249984580226933,1.0
226,1,0.5,1,0.2334757476752953,0,0,0.020494635090094415,1.0
227,0,1.0,1,0.2523247046996733,0,0,0.014151057562208049,1.0
228,0,0.5,1,0.22090977632571,0,0,0.025374310111545468,1.0
229,0,1.0,0,0.34656948982156316,3,1,0.049707687947515,1.0
230,1,0.0,0,0.4345312892686604,1,0,0.16293234896625058,1.0
231,0,1.0,1,0.35913546117114853,0,0,0.015175789316712771,1.0
232,0,0.5,1,0.7361146016587082,0,0,0.026350245115835676,1.0
233,1,1.0,0,0.05755214878110078,4,2,0.06126431989431795,1.0
234,0,0.5,1,0.2963056044232219,0,0,0.020494635090094415,1.0
235,0,1.0,0,0.34656948982156316,0,0,0.014736618564782174,1.0
236,0,0.5,1,0.5476250314149284,1,0,0.050748620223090936,1.0
237,1,0.5,0,0.09525006282985675,0,2,0.05123658772523604,1.0
238,0,0.5,1,0.2334757476752953,0,0,0.020494635090094415,1.0
239,0,0.5,1,0.4093993465694898,0,0,0.023959204355324663,1.0
240,0,1.0,0,0.34656948982156316,1,0,0.028212719478023115,0.0
241,1,1.0,0,0.34656948982156316,1,0,0.030253985132996517,0.5
242,0,0.5,1,0.35913546117114853,0,0,0.020494635090094415,1.0
243,0,1.0,1,0.2711736617240512,0,0,0.013907073811135496,1.0
244,0,1.0,1,0.37170143252073384,0,0,0.014102260811993537,0.0
245,0,0.0,1,0.5476250314149284,2,0,0.17566830077223786,0.5
246,0,1.0,0,0.3088715757728072,0,0,0.015175789316712771,1.0
247,1,0.5,0,0.2963056044232219,0,2,0.028302115124416098,1.0
248,1,0.0,1,0.4596632319678311,1,1,0.10257896680493714,1.0
249,0,0.5,1,0.6732847449107816,1,0,0.050748620223090936,1.0
250,0,1.0,1,0.34656948982156316,0,0,0.014151057562208049,1.0
251,0,1.0,0,0.35913546117114853,1,1,0.02042143996477265,1.0
252,0,0.0,1,0.7738125157074642,0,0,0.051822148727810165,1.0
253,0,1.0,1,0.37170143252073384,1,0,0.031425107138144774,1.0
254,0,1.0,0,0.5099271173661725,0,2,0.039452172548431745,1.0
255,1,1.0,0,0.35913546117114853,0,2,0.029757819776815374,0.0
256,1,0.0,0,0.34656948982156316,0,0,0.15458810467956932,0.0
257,1,0.0,0,0.37170143252073384,0,0,0.16883675574220638,1.0
258,1,0.0,0,0.4345312892686604,0,0,1.0,0.0
259,1,0.5,0,0.6230208595124404,0,1,0.050748620223090936,1.0
260,0,1.0,1,0.34656948982156316,0,0,0.015126992566498259,0.5
261,1,1.0,1,0.032420206081930136,4,2,0.06126431989431795,1.0
262,0,0.0,1,0.648152802211611,1,1,0.1554664461834305,1.0
263,0,0.0,1,0.49736114601658704,0,0,0.0,1.0
264,0,1.0,0,0.34656948982156316,0,0,0.015126992566498259,0.5
265,0,0.5,1,0.4470972606182458,0,0,0.020494635090094415,1.0
266,0,1.0,1,0.19577783362653933,4,1,0.07746484096553544,1.0
267,1,1.0,1,0.3088715757728072,1,0,0.015175789316712771,1.0
268,1,0.0,0,0.723548630309123,0,1,0.2995388511917728,1.0
269,1,0.0,0,0.4345312892686604,0,0,0.2647385704347907,1.0
270,0,0.0,1,0.34656948982156316,0,0,0.060507970265993034,1.0
271,1,1.0,1,0.3088715757728072,0,0,0.0,1.0
272,1,0.5,0,0.5099271173661725,0,1,0.038061465167318204,1.0
273,0,0.0,1,0.4596632319678311,0,1,0.057970539254838485,0.0
274,1,1.0,0,0.34656948982156316,0,0,0.015126992566498259,0.5
275,1,0.0,0,0.7863784870570495,1,0,0.15216446768991498,1.0
276,0,1.0,0,0.5601910027645137,0,0,0.015126992566498259,1.0
277,0,0.5,1,0.34656948982156316,0,0,0.0,1.0
278,0,1.0,1,0.08268409148027142,4,1,0.05684821399990475,0.5
279,1,1.0,0,0.4345312892686604,1,1,0.03952536767375352,1.0
280,0,1.0,1,0.8115104297562202,0,0,0.015126992566498259,0.5
281,0,1.0,1,0.34656948982156316,0,0,0.015330377421392339,1.0
282,0,1.0,1,0.19577783362653933,0,0,0.018542765081513996,1.0
283,1,1.0,1,0.2334757476752953,0,0,0.015712553569072387,1.0
284,0,0.0,1,0.34656948982156316,0,0,0.050748620223090936,1.0
285,0,1.0,1,0.4093993465694898,0,0,0.016908073949327893,0.0
286,1,1.0,1,0.37170143252073384,0,0,0.018542765081513996,1.0
287,0,1.0,1,0.2711736617240512,0,0,0.015411575213749286,1.0
288,1,0.5,1,0.5224930887157577,0,0,0.025374310111545468,1.0
289,1,1.0,0,0.2711736617240512,0,0,0.015126992566498259,0.5
290,1,0.0,0,0.32143754712239253,0,0,0.15390495017656614,1.0
291,1,0.0,0,0.2334757476752953,1,0,0.17777475888549785,0.0
292,0,0.5,1,0.4470972606182458,0,0,0.025130326360472913,0.0
293,0,1.0,0,0.2963056044232219,0,0,0.01727404957593672,1.0
294,0,1.0,1,0.2963056044232219,0,0,0.015411575213749286,1.0
295,0,0.0,1,0.34656948982156316,0,0,0.05410739813385612,0.0
296,0,1.0,1,0.2900226187484292,0,0,0.014110458666029575,0.0
